device_id,1,2,3,4,5
illuminance/f4-5c-89-92-6c-8d/1,10,20,30,32,50
temperature/f4-5c-89-92-6c-8d/3,23,25,27,29,31
temperature/f4-5c-89-92-6c-8d/2,29,,,,77
illuminance/f4-5c-89-92-6c-8d/13,19,39,55,,98
illuminance/f4-5c-89-92-6c-8d/10,19,33,50,,98
illuminance/f4-5c-89-92-6c-8d/4,7,15,23,31,39
illuminance/f4-5c-89-92-6c-8d/2,7,14,21,28,36
illuminance/f4-5c-89-92-6c-8d/16,19,39,44,,98
illuminance/f4-5c-89-92-6c-8d/3,10,20,30,40,50
illuminance/f4-5c-89-92-6c-8d/11,19,39,51,,98
temperature/f4-5c-89-92-6c-8d/1,28,31,34,37,40
illuminance/f4-5c-89-92-6c-8d/12,19,39,58,63,98
illuminance/f4-5c-89-92-6c-8d/14,19,39,58,60,98
temperature/f4-5c-89-92-6c-8d/4,25,27,28,30,32
illuminance/f4-5c-89-92-6c-8d/15,19,39,57,67,98
illuminance/f4-5c-89-92-6c-8d/6,19,39,58,69,98
illuminance/f4-5c-89-92-6c-8d/8,19,39,58,66,98
illuminance/f4-5c-89-92-6c-8d/7,19,39,55,,98
illuminance/f4-5c-89-92-6c-8d/5,19,39,54,,98
illuminance/f4-5c-89-92-6c-8d/9,19,39,55,,98
temperature/f4-5c-89-92-6c-8d/5,25,26,28,29,31
